,NEAR BAD,NEAR GOOD,TOTAL HITS,GOOD,BAD,SO,LOG SO
defiant,2700,3200,257500,62617300,38901700,0.736309590456927,-0.441615602103538
deficient,11400,17800,566800,62617300,38901700,0.970039444006576,-0.0438846831384139
definite,16100,66100,1579600,62617300,38901700,2.55064387827732,1.350861483453
delicious,11900,88300,2141600,62617300,38901700,4.6098626434043,2.20472376440045
delightful,4600,41300,1271200,62617300,38901700,5.57784527390298,2.47970791542236
delusional,2100,2000,86000,62617300,38901700,0.591677349474316,-0.757117427831468
deluxe,9500,205500,4695000,62617300,38901700,13.4388610613495,3.74833897029803
dense,9200,39300,1266350,62617300,38901700,2.65386585065844,1.40809544626152
dependable,3400,53500,738500,62617300,38901700,9.77572797256462,3.2892041400981
dependent,42900,84900,4997600,62617300,38901700,1.22948898179226,0.298058806113423
deplorable,2600,1800,132600,62617300,38901700,0.430103919425561,-1.21724281663885
deserving,15200,15900,432000,62617300,38901700,0.649871930886428,-0.6217726580993
desirable,15800,75200,2302000,62617300,38901700,2.95688883003114,1.56408000356046
desolate,2900,2300,282500,62617300,38901700,0.492724413441543,-1.02114713901063
desperate,27100,50100,1580000,62617300,38901700,1.1485308844685,0.199789651901267
detailed,45200,217300,15492000,62617300,38901700,2.98672704519485,1.57856539682603
dexterous,100,700,22200,62617300,38901700,4.34882851863622,2.12062682211753
different,436400,1223400,51689000,62617300,38901700,1.74163834283736,0.800445074474076
difficult,208800,505100,14059500,62617300,38901700,1.50286896877611,0.587719229921248
digital,115500,256900,22930000,62617300,38901700,1.38183555527229,0.466585938657327
dilapidated,7000,1400,126000,62617300,38901700,0.124252243389606,-3.00865619482743
diligent,2600,13500,309300,62617300,38901700,3.2257793956917,1.68964777896967
dim,13200,20200,1002850,62617300,38901700,0.950717922905322,-0.0729107365467286
dimensional,11400,50600,2297700,62617300,38901700,2.75752785768162,1.4633754605895
diminutive,1000,2240,145800,62617300,38901700,1.39162512596359,0.476770632342809
dingy,1400,2300,110000,62617300,38901700,1.0206434278432,0.0294789340593387
dire,11700,20700,3123800,62617300,38901700,1.09915446075421,0.136394137975851
direct,149800,357500,25467500,62617300,38901700,1.4826494329701,0.568177518154293
dirty,185800,118500,5603400,62617300,38901700,0.396229570550817,-1.3355915425371
disabled,42800,53800,4841173,62617300,38901700,0.780931155883274,-0.356732723784593
disappointing,23300,55300,779000,62617300,38901700,1.47449550631872,0.560221425640357
disconcerting,1400,2300,117960,62617300,38901700,1.0206434278432,0.0294789340593387
discouraging,5600,6600,240300,62617300,38901700,0.732200719974466,-0.449688902639221
disgusting,27000,11100,416500,62617300,38901700,0.255407389189746,-1.96912783064079
disheveled,800,900,68950,62617300,38901700,0.698918869066536,-0.516803098497758
dismal,6100,6300,319600,62617300,38901700,0.641630437175836,-0.64018551400304
disobedient,1700,8300,128200,62617300,38901700,3.0332165298051,1.60084849015652
disorderly,1700,1500,139400,62617300,38901700,0.548171662012969,-0.867300345581891
disorganized,4000,3200,127300,62617300,38901700,0.497008973558426,-1.00865619482743
dissatisfied,7100,13500,414600,62617300,38901700,1.18127132799978,0.240340377606079
distant,18100,49900,2177550,62617300,38901700,1.71275882462468,0.776322018313985
distinct,18600,48400,3342700,62617300,38901700,1.61661520969273,0.692976326226493
distinctive,5400,54800,1914800,62617300,38901700,6.30465086828744,2.65641648085699
disturbing,16800,22100,149300,62617300,38901700,0.817254338961399,-0.291142963327399
dogged,3300,2400,113500,62617300,38901700,0.451826339598569,-1.14615971857737
domed,300,2000,147600,62617300,38901700,4.14174144632021,2.05023749422614
domestic,55900,106500,7145970,62617300,38901700,1.18361931314786,0.243205142329941
double,120100,453400,19656900,62617300,38901700,2.34537748346576,1.22982014009508
down-to-earth,2100,22100,400000,62617300,38901700,6.53803471169119,2.7088570366726
drab,1500,3600,156500,62617300,38901700,1.49102692067528,0.576306305893724
drama-free,20,180,2700,62617300,38901700,5.59135095253229,2.48319690150224
dramatic,23300,58700,3016000,62617300,38901700,1.56515164956436,0.646302448515702
dreamy,1700,6300,172100,62617300,38901700,2.30232098045447,1.20308898230951
drivable,200,730,14000,62617300,38901700,2.26760344186032,1.18116836405258
drugged-out,200,220,8900,62617300,38901700,0.683387338642835,-0.549224576190135
drunken,10200,13200,829200,62617300,38901700,0.803985104285688,-0.314759322553112
dry,77800,265500,9485300,62617300,38901700,2.1201137930553,1.08414170076525
dual,19400,118300,5748100,62617300,38901700,3.78841247242022,1.92159341621259
dual-stage,50,260,17500,62617300,38901700,3.23055832812977,1.69178352331366
dubious,7200,8700,480800,62617300,38901700,0.750690637145539,-0.413709605533654
dull,22900,35900,1104000,62617300,38901700,0.973942257136871,-0.0380918542139626
dumb,35700,46800,1424500,62617300,38901700,0.814426469276412,-0.296143644385765
duplicate,12900,27600,1959200,62617300,38901700,1.32921004556323,0.410569101414845
durable,5200,89300,1821400,62617300,38901700,10.6689666679729,3.41534854704006
dysfunctional,7300,5800,352300,62617300,38901700,0.493604802506656,-1.01857166369252
eager,14700,57900,1865900,62617300,38901700,2.44700846675449,1.2910190932128
early,242900,774100,22771150,62617300,38901700,1.97990246208099,0.985429359123998
earnest,4400,25800,858500,62617300,38901700,3.64284986301346,1.86506753684589
earthly,5200,17500,492100,62617300,38901700,2.09078294165203,1.06404329375117
east,97000,291500,23309500,62617300,38901700,1.86698602825104,0.900711131073299
easy,288100,1347600,32258700,62617300,38901700,2.90597575827549,1.53902266802182
easy-to-carry,200,2400,91700,62617300,38901700,7.45513460337638,2.89823440078109
easy-to-use,9600,111700,4223300,62617300,38901700,7.22863311803075,2.85372286982209
eccentric,4200,8700,667600,62617300,38901700,1.28689823510664,0.363897973129898
eclectic,1900,12900,1065700,62617300,38901700,4.21803668348927,2.0765716420396
economic,305300,406700,12624700,62617300,38901700,0.82760215176143,-0.272990698684717
economical,4600,43400,1476600,62617300,38901700,5.86146452511839,2.5512611764474
ecstatic,1700,5600,266400,62617300,38901700,2.04650753818175,1.03316398086719
edgy,2100,5100,196800,62617300,38901700,1.50877724115951,0.593379819252665
