,NEAR BAD,NEAR GOOD,TOTAL HITS,GOOD,BAD,SO,LOG SO
mid-size,200,3100,209400,62617300,38901700,9.6295488626945,3.26746821044681
mid-sized,300,3600,252000,62617300,38901700,7.45513460337638,2.89823440078109
midweek,600,3100,169000,62617300,38901700,3.20984962089817,1.68250570972565
mighty,22300,63100,2256000,62617300,38901700,1.75791851073636,0.813868195122174
mild,23600,70300,1996000,62617300,38901700,1.85062133692571,0.888009729770624
military,85800,239900,11092000,62617300,38901700,1.73706953316822,0.796655504853819
millenial,100,210,12510,62617300,38901700,1.30464855559087,0.383661227951328
minimal,27100,221900,32353000,62617300,38901700,5.08700605316488,2.34681681090307
minimum,59900,221500,14050000,62617300,38901700,2.29731818954907,1.19995069071353
minor,56100,278400,7496500,62617300,38901700,3.08305031726082,1.62435843529987
miraculous,2500,6600,380000,62617300,38901700,1.6401296127428,0.713809829643659
mirror-like,100,1900,23400,62617300,38901700,11.8039631220126,3.56119941350352
miscellaneous,16100,34600,6757000,62617300,38901700,1.33513280163987,0.416983249582038
miserable,67700,21000,799000,62617300,38901700,0.192710274090231,-2.37549460584894
misguided,18400,9400,339800,62617300,38901700,0.317383447788669,-1.65570120431945
mish,600,1500,46000,62617300,38901700,1.55315304237008,0.635199994947293
mis-match,100,140,7200,62617300,38901700,0.869765703727245,-0.201301272769828
misogynistic,500,430,16400,62617300,38901700,0.534284646575307,-0.904319535012697
mobile,51200,163600,11128000,62617300,38901700,1.98512373227926,0.989228933001679
modeling,19800,74400,3568000,62617300,38901700,2.33443608792594,1.22307409108835
moderate,40600,135100,2894000,62617300,38901700,2.06730025639604,1.04774794220044
moderately-priced,100,4500,59550,62617300,38901700,27.9567547626614,4.8051249963896
modern,96300,360300,14248600,62617300,38901700,2.32440723225728,1.21686284864326
modern-day,3900,9640,571000,62617300,38901700,1.53563029009719,0.618830922540281
modern-type,50,850,8300,62617300,38901700,10.5614406881165,3.40073474131027
modest,15500,52800,1589000,62617300,38901700,2.11629627450684,1.08154161414415
modular,3900,23200,1902500,62617300,38901700,3.69570775210111,1.88585067632525
moldy,2100,2000,81300,62617300,38901700,0.591677349474316,-0.757117427831468
momentary,2900,4700,283000,62617300,38901700,1.0068716274675,0.00987975660999527
monetary,18700,29700,1557000,62617300,38901700,0.986708991623345,-0.0193034390269409
monolithic,1400,3800,248000,62617300,38901700,1.6862804460018,0.753844491445911
moody,44900,22500,972000,62617300,38901700,0.311322436109816,-1.68351854346418
moral,95700,190100,2736000,62617300,38901700,1.23408314881735,0.303439602222456
morbid,3500,4850,237000,62617300,38901700,0.86089054348513,-0.216098274697909
most-used,400,2200,168000,62617300,38901700,3.41693669321418,1.77270351869723
motor-driven,100,760,67600,62617300,38901700,4.72158524880504,2.23927131861615
mouth-watering,400,3200,122000,62617300,38901700,4.97008973558426,2.31327190005993
movable,2600,8800,875000,62617300,38901700,2.10273027274719,1.07226380055614
much-admired,100,670,25800,62617300,38901700,4.16245015355181,2.05743299563034
much-used,300,970,40200,62617300,38901700,2.0087446014653,1.00629414663854
multi-colored,300,3000,125900,62617300,38901700,6.21261216948032,2.63519999494729
multiple,86500,276800,18164700,62617300,38901700,1.9880358942337,0.991343805172568
multi-syllable,30,120,2600,62617300,38901700,2.48504486779213,1.31327190005993
mundane,3500,8700,521800,62617300,38901700,1.54427788212797,0.626932378963692
mural-sized,3,25,1200,62617300,38901700,5.17717680790027,2.3721655891135
murderous,3200,3500,228300,62617300,38901700,0.67950445603691,-0.557445082995104
musical,29200,154900,6194800,62617300,38901700,3.29566309949487,1.72056876996948
must-have,100400,302200,8031200,62617300,38901700,1.86997151157067,0.903016291273987
mute,6300,8370,510600,62617300,38901700,0.825389902516671,-0.276852305777005
myriad,4700,11700,867800,62617300,38901700,1.54654388048765,0.629047767965697
mysterious,13000,28400,1673100,62617300,38901700,1.35721681240955,0.440651206536158
mythical,1800,5600,332900,62617300,38901700,1.93281267494943,0.950701820675222
naked,337800,356300,11256500,62617300,38901700,0.655285291884499,-0.609804944608156
nameless,2900,4600,191500,62617300,38901700,0.985448826883085,-0.0211471390106293
narrow,34800,90500,3853800,62617300,38901700,1.61563621074129,0.69210238618177
nasal,22800,16900,539600,62617300,38901700,0.460496252913234,-1.11873867782263
nasty,2774700,108600,3712600,62617300,38901700,0.0243157704114161,-5.3619638876852
national,200500,708500,51009600,62617300,38901700,2.19532953719541,1.13443751652303
native,47900,161400,7843700,62617300,38901700,2.09335199197103,1.06581491760153
natural,180100,636000,22106100,62617300,38901700,2.19390413092142,1.13350048432537
naughty,176800,80800,1607400,62617300,38901700,0.283924809555435,-1.81641917657971
nauseous,1600,1500,65800,62617300,38901700,0.58243239088878,-0.779837504331551
navigational,1700,7900,437200,62617300,38901700,2.88703741993497,1.52958980698669
nearby,23900,131000,6532400,62617300,38901700,3.40523930628419,1.76775618850399
near-classic,35,60,1500,62617300,38901700,1.06501922905377,0.0908794787234821
near-perfect,800,5500,111300,62617300,38901700,4.27117086651772,2.09463161358459
near-silence,30,60,4600,62617300,38901700,1.24252243389606,0.31327190005993
neat,14300,106600,1854000,62617300,38901700,4.63121998088533,2.21139228604072
necessary,134500,720500,21500000,62617300,38901700,3.32802012498927,1.73466415767805
needless,12900,27850,873700,62617300,38901700,1.34124999162812,0.423578161976708
negative,7779300,1788500,7430200,62617300,38901700,0.142831062757774,-2.80761832551207
net,374800,823050,135481970,62617300,38901700,1.36427173054717,0.448131023591772
neutral,61100,109100,2404700,62617300,38901700,1.10932240211179,0.149678716564808
new,1341500,4605000,175209900,62617300,38901700,2.13261863887118,1.09262600177811
new-age,4400,14300,1048900,62617300,38901700,2.0190989550811,1.01371161820102
newfound,1400,3900,195700,62617300,38901700,1.73065624721237,0.791319196864574
new-style,1700,3990,179500,62617300,38901700,1.4581366209545,0.544125900144574
next,797300,2760100,159369300,62617300,38901700,2.15068742618621,1.10479786345963
nice,258000,14926900,10905150,62617300,38901700,35.9438141831844,5.16767160365716
nice-looking,2200,158800,149200,62617300,38901700,44.8437642051579,5.48683547856559
nicely-finished,50,470,5500,62617300,38901700,5.8398554393115,2.5459326568502
noble,20400,74200,2707200,62617300,38901700,2.25968540674235,1.17612193470924
noisy,13800,33800,744400,62617300,38901700,1.52163979223503,0.605626879563945
non-agricultural,600,40,4300,62617300,38901700,0.0414174144632021,-4.59361869554859
non-corrosive,100,2100,53000,62617300,38901700,13.0464855559087,3.70558932283869
non-descript,200,510,33700,62617300,38901700,1.58421610321748,0.663769147144063
non-existent,14600,8100,414700,62617300,38901700,0.344672318991716,-1.53670265593546
non-functional,900,1200,107000,62617300,38901700,0.828348289264043,-0.271690600661226
non-functioning,500,320,23250,62617300,38901700,0.39760717884674,-1.33058428971479
non-linear,2400,6900,412400,62617300,38901700,1.78612599872559,0.836833856116943
non-natural,100,220,13350,62617300,38901700,1.36677467728567,0.450775423809865
non-proprietary,100,440,56200,62617300,38901700,2.73354935457134,1.45077542380986
nonsensical,2000,2000,117650,62617300,38901700,0.621261216948032,-0.68672809994007
non-skid,100,1600,69000,62617300,38901700,9.94017947116851,3.31327190005993
non-slip,100,5500,126600,62617300,38901700,34.1693669321418,5.09463161358459
non-smoking,1300,14200,1128200,62617300,38901700,6.78608406204773,2.76257930142352
non-stick,300,4350,129200,62617300,38901700,9.00828764574646,3.1712528951875
normal,175400,559740,13271000,62617300,38901700,1.98258126325252,0.987380001207269
northern,42900,144260,10609600,62617300,38901700,2.08911755610543,1.06289367614775
notable,9240,31300,1950000,62617300,38901700,2.10448875438024,1.07346980046385
notchy,80,230,3000,62617300,38901700,1.78612599872559,0.836833856116943
noteworthy,3800,11400,589800,62617300,38901700,1.8637836508441,0.898234400781086
noticeable,9100,23500,923700,62617300,38901700,1.60435588992074,0.681994206426233
notorious,13900,9500,714700,62617300,38901700,0.424602990000453,-1.23581356433263
nude,382400,418360,13656000,62617300,38901700,0.679683166115007,-0.557065703223376
numb,5900,7000,376900,62617300,38901700,0.737089579429868,-0.440088132356945
numeric,9500,14700,1275000,62617300,38901700,0.961319988330113,-0.0569113634346534
numerous,47200,145700,7888500,62617300,38901700,1.9177491379095,0.939414012762601
obligatory,3700,8700,418800,62617300,38901700,1.46080340201294,0.546762030279708
obscene,6900,5500,609000,62617300,38901700,0.495208216407852,-1.01389284319358
observant,1300,4600,147000,62617300,38901700,2.19830892150842,1.13639413797585
obtainable,840,4700,213800,62617300,38901700,3.47610442816161,1.79747142384617
obvious,105900,157000,6251000,62617300,38901700,0.921038820215685,-0.118666130153417
occasional,26300,72900,2461000,62617300,38901700,1.72205105382173,0.784127915094565
odd,42000,92800,3461000,62617300,38901700,1.37269145078041,0.457007377521379
off-center,960,2700,86800,62617300,38901700,1.74729717266634,0.805124996389605
offended,14400,16600,1008500,62617300,38901700,0.71617612509287,-0.481613670035458
offensive,40200,68000,1903000,62617300,38901700,1.05088962070811,0.0716111450187032
official,76800,198500,18429000,62617300,38901700,1.60573374432532,0.683232691369094
off-point,570,6200,139000,62617300,38901700,6.75757814925929,2.75650629116943
off-road,3400,18900,830000,62617300,38901700,3.45348147068171,1.78805148303066
off-site,1400,5400,707000,62617300,38901700,2.39629326537098,1.26080448016579
off-the-line,760,2900,61000,62617300,38901700,2.37060201203854,1.24525347663128
often-used,5960,13900,867250,62617300,38901700,1.44891458315061,0.534972547208638
ok,285300,476900,11548900,62617300,38901700,1.03848396201373,0.0544789358725679
okay,120900,437200,3431700,62617300,38901700,2.24661210959206,1.16775105648271
old,736000,2034200,45986000,62617300,38901700,1.71707821673327,0.779955758806
old-fashioned,7680,154900,1073000,62617300,38901700,12.5303857428711,3.6473589230157
old-school,5350,17600,686400,62617300,38901700,2.0437752183711,1.03123653229608
olfactory,1030,2100,104000,62617300,38901700,1.26664908309793,0.341016890542834
olive,8300,50600,2250000,62617300,38901700,3.7874479009121,1.92122604340732
omnivorous,180,520,26900,62617300,38901700,1.79475462673876,0.84378661675871
one-legged,300,540,24500,62617300,38901700,1.11827019050646,0.16126880661488
one-of-a-kind,1100,19800,720500,62617300,38901700,11.1827019050646,3.48319690150224
one-on-one,3500,17300,5800,62617300,38901700,3.0708054437717,1.61861711075169
on-going,5200,21600,1256000,62617300,38901700,2.58062351655336,1.36771968408231
on-line,81200,176400,15285000,62617300,38901700,1.34963643681814,0.432570828432274
on-off,4800,16500,1726000,62617300,38901700,2.13558543325886,1.09463161358459
on-point,750,2800,114800,62617300,38901700,2.31937520993932,1.21373622650902
on-site,5800,47400,3722000,62617300,38901700,5.07720373850633,2.34403415383062
open,286500,958300,45909000,62617300,38901700,2.07802661152286,1.05521412973117
operational,16000,65100,3841000,62617300,38901700,2.52775657645731,1.3378575383382
opposite,69500,123500,4741400,62617300,38901700,1.10396777400118,0.1426980589211
optical,21800,80900,3862000,62617300,38901700,2.30550607573834,1.20508346771298
optimistic,7900,56000,896000,62617300,38901700,4.40387698089744,2.13877416882779
optimum,7400,47000,1807000,62617300,38901700,3.94584826980507,1.98033548099598
optional,35000,163800,13649000,62617300,38901700,2.90750249531679,1.53978042986861
orchestral,1100,7500,370900,62617300,38901700,4.23587193373658,2.08265897191851
ordinary,34200,84000,4058600,62617300,38901700,1.52590474338113,0.609664902840155
organic,22300,121600,3609990,62617300,38901700,3.38768448344756,1.76029951358321
oriental,17500,34400,2769000,62617300,38901700,1.22122204931499,0.288325542929699
original,257500,805300,33622800,62617300,38901700,1.94291906022621,0.958225801158719
ornate,2580,8500,644500,62617300,38901700,2.04679083103034,1.03336367566174
oscar-worthy,70,460,6400,62617300,38901700,4.08257371137278,2.02947893405934
outdated,15600,15800,901800,62617300,38901700,0.629226104344802,-0.668349570625215
outdoor,37300,154900,10188000,62617300,38901700,2.57998290898794,1.36736150859426
outgoing,7100,35200,1429000,62617300,38901700,3.08005561078461,1.62295639919255
out-of-the-box,2600,12500,616990,62617300,38901700,2.98683277378862,1.57861646658093
outright,11400,11400,686900,62617300,38901700,0.621261216948032,-0.68672809994007
out-right,3900,6300,236300,62617300,38901700,1.00357581199297,0.00514960469759827
outspoken,2150,4200,226800,62617300,38901700,1.21362656334034,0.279324568136592
outstanding,35500,298900,6606600,62617300,38901700,5.23084444354273,2.38704386734598
outward,7000,19600,797000,62617300,38901700,1.73953140745449,0.798698727230172
oval,3800,38200,1483000,62617300,38901700,6.24531012826706,2.64277321465209
oven-proof,10,180,10400,62617300,38901700,11.1827019050646,3.48319690150224
oven-safe,2,640,19500,62617300,38901700,198.80358942337,7.63519999494729
overall,208100,793500,12277000,62617300,38901700,2.3689129055659,1.24422515804714
over-done,220,700,11000,62617300,38901700,1.97674023574374,0.983123298367599
over-easy,90,490,13000,62617300,38901700,3.38242218116151,1.75805674273283
overhead,11300,39500,2597000,62617300,38901700,2.17166531588029,1.11880178070921
over-played,70,200,3600,62617300,38901700,1.77503204842295,0.827845072889688
over-powerful,30,50,1990,62617300,38901700,1.03543536158005,0.050237494226136
over-priced,1300,2400,38300,62617300,38901700,1.14694378513483,0.197794682639994
oversized,3200,22800,862000,62617300,38901700,4.42648617075473,2.14616191422467
over-the-top,6250,15100,650000,62617300,38901700,1.50096710014645,0.585892354722922
overweight,12900,14300,558500,62617300,38901700,0.688684914911384,-0.538084018584935
overwhelming,22200,45000,1769000,62617300,38901700,1.25931327759736,0.332637224926861
owing,17400,16300,721000,62617300,38901700,0.581986082543271,-0.780943441557721
painful,38900,45300,2041200,62617300,38901700,0.723473859325086,-0.466987204880027
palatable,1400,4800,141600,62617300,38901700,2.13003845810754,1.09087947872348
pale,19400,38400,1772700,62617300,38901700,1.22971292426827,0.298321558593959
panoramic,1500,19500,886400,62617300,38901700,8.07639582032441,3.01371161820102
paperback,11700,278800,2785200,62617300,38901700,14.8040707081292,3.88792202634495
paper-thin,400,800,40900,62617300,38901700,1.24252243389606,0.31327190005993
parallel,21900,75000,5010110,62617300,38901700,2.12760690735627,1.089231625842
partial,29200,69400,4424500,62617300,38901700,1.47655919370525,0.562239193758174
particular,187600,492500,24278500,62617300,38901700,1.63097627583638,0.705735796775654
passionate,9500,35000,1191900,62617300,38901700,2.2888571150717,1.19462740356131
pathetic,16750,18000,545900,62617300,38901700,0.667623994332213,-0.58289228895553
patient,117200,295700,7589300,62617300,38901700,1.56746537415984,0.648433573758006
patterned,1100,5300,332200,62617300,38901700,2.99334949984052,1.58176073598583
peaceful,13200,72000,2139700,62617300,38901700,3.38869754698927,1.76073087703115
pearly,840,2600,141500,62617300,38901700,1.92295138579153,0.943322290309624
pedestrian,5700,15400,676900,62617300,38901700,1.67849521771924,0.74716842659009
peppered,920,5200,106730,62617300,38901700,3.51147644361931,1.81207775703137
perceivable,130,340,23200,62617300,38901700,1.62483702894101,0.700295023169177
perfect,186200,705800,16047000,62617300,38901700,2.35492033792654,1.23567825728086
perforated,820,4200,255800,62617300,38901700,3.1820696477826,1.66996541310797
performance-oriented,100,800,31000,62617300,38901700,4.97008973558426,2.31327190005993
permanent,43100,109400,7391900,62617300,38901700,1.57693682445742,0.657124863763389
persistent,21600,31400,1900250,62617300,38901700,0.903129732044824,-0.146994853211912
personal,420500,903300,44993000,62617300,38901700,1.33456660468289,0.416371308363257
persuasive,4540,16100,492900,62617300,38901700,2.2031510116439,1.13956838577099
perverse,20300,7900,1418200,62617300,38901700,0.24177160659554,-2.04828326894814
phenomenal,3300,15600,614600,62617300,38901700,2.9368712073907,1.55427999956373
philosophical,8950,26700,1175000,62617300,38901700,1.85337145167737,0.890152054483228
physical,198500,429400,14863400,62617300,38901700,1.34392728744325,0.426455083888383
picky,3550,9900,188000,62617300,38901700,1.73253128106634,0.792881400634858
pinched,3800,4200,247500,62617300,38901700,0.686657134521509,-0.542338190604895
plain,119200,172700,8087000,62617300,38901700,0.90009909536011,-0.151844252873307
plastic,42200,182000,7231700,62617300,38901700,2.67937302096071,1.4218954464388
plastic-like,50,290,9550,62617300,38901700,3.60331505829859,1.84932480030014
plausible,6600,12900,532700,62617300,38901700,1.21428328767115,0.280105036124731
playful,8600,25300,719600,62617300,38901700,1.82766381264944,0.870000720052142
pleasant,30150,214300,3866000,62617300,38901700,4.41579697485782,2.14267384283639
pleasing,7100,81000,948800,62617300,38901700,7.08762796799867,2.82530287832724
plentiful,3100,24600,438400,62617300,38901700,4.9300083667489,2.30159009501229
poetic,4010,12500,580200,62617300,38901700,1.93659980345396,0.953525853154459
poignant,2010,6200,308900,62617300,38901700,1.9163281318795,0.938344614155239
pointless,7950,12900,603900,62617300,38901700,1.00808423882133,0.0116162001988289
pointy,3100,5300,198900,62617300,38901700,1.06215627413696,0.0869960442362541
polar,10200,25800,1494700,62617300,38901700,1.57142543110385,0.652073813511689
political,167900,279200,12186400,62617300,38901700,1.03309191049369,0.0469686113325521
poor,10870300,899800,10829600,62617300,38901700,0.0514255211916726,-4.28137167940408
popular,90050,391700,18906900,62617300,38901700,2.70236556000604,1.4342228471044
positive,1703700,12736500,11327600,62617300,38901700,4.64441714483689,2.21549755570055
possible,385500,949800,42753300,62617300,38901700,1.53067160533655,0.614164796115871
post-oscar,10,30,1900,62617300,38901700,1.8637836508441,0.898234400781086
potent,6800,17100,867500,62617300,38901700,1.56228923673696,0.643661573695489
potential,245800,542800,18002400,62617300,38901700,1.37193079153536,0.456207705106122
powerful,104500,270600,11241500,62617300,38901700,1.60873957230754,0.685930797068222
power-mad,220,170,8300,62617300,38901700,0.480065485823479,-1.05869687732703
practical,43300,580,8638300,62617300,38901700,0.0083217437835995,-6.90889841442659
preachy,760,2200,34300,62617300,38901700,1.79838773327062,0.846704100141004
pre-arranged,130,630,70500,62617300,38901700,3.01072743597892,1.59011210541875
precious,19800,71200,3180200,62617300,38901700,2.23403023468181,1.15964871094672
precise,12300,69300,3552600,62617300,38901700,3.50027661256086,1.8074689368579
predictable,13000,28800,937900,62617300,38901700,1.37633254216179,0.460829088473788
predominate,1530,2300,128400,62617300,38901700,0.933922090836911,-0.0986258916883464
preemptive,1160,2400,124500,62617300,38901700,1.28536803506489,0.362181500540877
pre-existing,1980,4050,580800,62617300,38901700,1.27076158012097,0.345693377752307
preferable,5500,16700,767500,62617300,38901700,1.88637496782402,0.915616479009323
pregnant,62800,79100,4615000,62617300,38901700,0.782512137907473,-0.353814964358905
pre-holiday,40,520,33500,62617300,38901700,8.07639582032441,3.01371161820102
pre-installed,210,1200,113600,62617300,38901700,3.5500640968459,1.82784507288969
pre-measured,10,260,10500,62617300,38901700,16.1527916406488,4.01371161820102
pre-owned,1400,6200,540800,62617300,38901700,2.75129967505557,1.4601132883892
pre-packaged,230,1010,86800,62617300,38901700,2.72814708311962,1.44792142675471
preschool,5050,19200,1082700,62617300,38901700,2.3620228446341,1.24002291802929
present,213850,614300,29918200,62617300,38901700,1.78461896456009,0.835616076147517
pre-teen,3800,3740,424300,62617300,38901700,0.61145182931201,-0.709689248383381
pretentious,2900,5950,150400,62617300,38901700,1.27465663477269,0.350108668240301
prevalent,2900,11300,804500,62617300,38901700,2.42077646603888,1.27546986734755
previous,11200,875200,200232000,62617300,38901700,48.5471265243676,5.60131400079488
pricey,358600,18200,193700,62617300,38901700,0.0315308258462191,-4.98709323260975
prim,2800,2500,167600,62617300,38901700,0.554697515132171,-0.850226832222949
primary,1500,236900,13664600,62617300,38901700,98.1178548633258,6.61644378769164
prime,86100,123300,5605800,62617300,38901700,0.889680697441258,-0.168640442934075
private,63600,451400,19914400,62617300,38901700,4.40939171903053,2.14057964796741
problematic,12300,16700,917000,62617300,38901700,0.843501001872531,-0.245538312805258
problem-free,440,2500,58900,62617300,38901700,3.52989327811382,1.81962456608472
profane,2700,6000,256500,62617300,38901700,1.38058048210674,0.46527499350498
professional,91200,725100,32122400,62617300,38901700,4.93943539922169,2.30434614438193
professional-looking,240,4400,138100,62617300,38901700,11.3897889773806,3.50966911286343
proficient,2500,21100,606500,62617300,38901700,5.24344467104139,2.39051489899239
prohibitive,1800,3000,202100,62617300,38901700,1.03543536158005,0.050237494226136
prolific,1800,8800,404600,62617300,38901700,3.03727706063482,1.60277851725492
prolonged,36300,16800,1164700,62617300,38901700,0.287525852471816,-1.79823641515706
prominent,11800,31800,1861700,62617300,38901700,1.67424633041927,0.743511805982444
promising,13750,53900,1879100,62617300,38901700,2.43534397043629,1.28412555440041
promotional,8200,51900,2824200,62617300,38901700,3.93212892190279,1.97531062379973
prompt,17200,79100,3756500,62617300,38901700,2.85707920119705,1.51454102983062
prone,20800,37500,115600,62617300,38901700,1.12006229017073,0.163578967302081
proper,82300,384900,6563900,62617300,38901700,2.90550962822962,1.53879123544914
proprietary,9100,27800,2609800,62617300,38901700,1.89791888254454,0.924418332584741
prospective,26100,50500,2537300,62617300,38901700,1.20205714390328,0.265505481129203
protective,14700,71300,2889900,62617300,38901700,3.01332821553705,1.59135782166745
proud,45300,198800,6666900,62617300,38901700,2.72641787923331,1.44700670157598
pro-west,15,50,6100,62617300,38901700,2.07087072316011,1.05023749422614
punk,35400,57400,1867500,62617300,38901700,1.00735575855415,0.0105732766526204
pure,58900,190700,7184600,62617300,38901700,2.01145185181646,1.00823720454223
purple,30300,73200,3308700,62617300,38901700,1.50086868252792,0.585797754871022
push-down,320,820,56800,62617300,38901700,1.59198186842933,0.670823904678014
puzzling,2500,4400,238800,62617300,38901700,1.09341974182854,0.128847328922503
quaint,1600,12050,455300,,,,
queen-sized,60,1100,74400,62617300,38901700,11.3897889773806,3.50966911286343
questionable,16240,21200,924500,62617300,38901700,0.811006022124278,-0.302215467674685
quick,136700,483200,19784300,62617300,38901700,2.19600160957783,1.13487911177895
quiet,50300,278600,5921500,62617300,38901700,3.44102137259884,1.78283685285566
quintessential,1400,4000,5921500,62617300,38901700,1.77503204842295,0.827845072889688
racial,30400,32200,1687000,62617300,38901700,0.658046420583113,-0.603738735269038
racy,860,3100,103000,62617300,38901700,2.23942996806849,1.16313155063207
radical,19800,34900,2433400,62617300,38901700,1.09505133694375,0.130998506189973
rain-soaked,165,300,20969,62617300,38901700,1.12956584899642,0.175768376309995
rainy,10300,31500,791200,62617300,38901700,1.89997362464689,0.925979391263991
rakish,150,570,14500,62617300,38901700,2.36079262440252,1.23927131861615
rampant,560,7400,387400,62617300,38901700,8.20952322395614,3.03729843851864
random,63900,136500,8717300,62617300,38901700,1.3271072944195,0.40828501492015
rap-rock,185,440,133000,62617300,38901700,1.47759424571424,0.563250153068278
rare,55050,228300,7740100,62617300,38901700,2.57645659998612,1.36538829072026
raw,57500,99400,5303600,62617300,38901700,1.07397156460234,0.102955795790479
readable,5400,34500,1316800,62617300,38901700,3.96916888605687,1.98883694956199
ready,135980,523100,19610000,62617300,38901700,2.38992309593702,1.25696419523725
real,579000,1371300,44489900,62617300,38901700,1.47139120345568,0.557180871508522
realistic,20000,104900,2921400,62617300,38901700,3.25851508289243,1.70421467286247
real-life,21900,83300,2146900,62617300,38901700,2.36306207177037,1.2406575258243
real-world,16500,47000,2103900,62617300,38901700,1.76965316342773,0.823466632379114
rear,41800,161400,5089600,62617300,38901700,2.39884115826345,1.26233763125683
reasonable,46600,331800,6698900,62617300,38901700,4.42348651895616,2.14518392636151
recent,183900,488800,25875800,62617300,38901700,1.65129136946274,0.723594705466722
receptive,3500,13800,403700,62617300,38901700,2.44954422682367,1.29251333989313
reclining,455,2600,183900,62617300,38901700,3.5500640968459,1.82784507288969
recognizable,2500,7300,463100,62617300,38901700,1.81408275348825,0.859240269165223
recommendable,260,1700,25200,62617300,38901700,4.06209257235252,2.02222311805654
recoverable,1400,2200,195100,62617300,38901700,0.976267626632622,-0.0346514033603769
rectangular,2600,11600,944300,62617300,38901700,2.77178081407583,1.47081317704641
red,224500,660400,24359000,62617300,38901700,1.8275318827282,0.869896575344679
red-blooded,255,790,32000,62617300,38901700,1.92469161328998,0.944627306265537
redeeming,3125,5300,179300,62617300,38901700,1.05365902394386,0.0754080699610421
red-nosed,180,450,35400,62617300,38901700,1.55315304237008,0.635199994947293
redundant,7500,18200,1253300,62617300,38901700,1.50759388646056,0.592247849762746
refillable,110,1040,69900,62617300,38901700,5.87374241478139,2.55427999956373
refined,5950,30700,1256300,62617300,38901700,3.20549905215203,1.68054898212217
refreshing,6000,43500,1203600,62617300,38901700,4.50414382287323,2.1712528951875
regal,5250,9800,757100,62617300,38901700,1.15968760496966,0.213736226509016
regular,75050,343700,17717600,62617300,38901700,2.84513631265874,1.50849777481154
relative,111900,176600,8737900,62617300,38901700,0.980471232466688,-0.028452793267998
relentless,4800,8000,468200,62617300,38901700,1.03543536158005,0.050237494226136
relevant,40200,176500,10619500,62617300,38901700,2.72767673610268,1.44767267703954
reliable,52100,314200,9419800,62617300,38901700,3.74664634098026,1.90559980307562
religious,72800,162500,6673900,62617300,38901700,1.38674378783043,0.471701262664413
reluctant,12500,20500,1085000,62617300,38901700,1.01886839579477,0.0269677149032891
remarkable,13200,56300,2637600,62617300,38901700,2.64977322077077,1.40586889278171
reminiscent,4400,13900,627700,62617300,38901700,1.96262066263128,0.97278135414614
remote,48100,175200,10868600,62617300,38901700,2.26288908959034,1.17816587589106
removable,3555,21600,1394400,62617300,38901700,3.77475169791209,1.91638174749135
rental,26300,124500,10295700,62617300,38901700,2.94095138821407,1.55628293772307
repetitious,800,1500,62300,62617300,38901700,1.16486478177756,0.220162495668449
repetitive,36800,19100,748700,62617300,38901700,0.322448077274658,-1.63286122796133
replete,1600,3700,168700,62617300,38901700,1.43666656419232,0.52272526568888
repulsive,3300,3200,133000,62617300,38901700,0.602435119464758,-0.731122219298523
residential,33600,96400,7249800,62617300,38901700,1.78242801529138,0.833843813511131
respectable,6800,25000,557600,62617300,38901700,2.28404859172071,1.19159334347168
respectful,13100,30300,546300,62617300,38901700,1.43696296744468,0.523022881995431
respective,13100,69250,10239400,62617300,38901700,3.28414803615658,1.71551915945903
respiratory,19500,32400,1637200,62617300,38901700,1.03224940662135,0.0457915891949442
responsible,103400,269600,17199100,62617300,38901700,1.61984549409274,0.695856210926854
retail,24900,125200,10649600,62617300,38901700,3.1237712595138,1.64328881492447
retentive,560,2000,75000,62617300,38901700,2.21879006052869,1.14977316777705
revealing,10700,31000,1382700,62617300,38901700,1.79991567527,0.847929318933021
reverent,350,1900,102500,62617300,38901700,3.3725608920036,1.75384449144591
revolutionary,14200,28700,2129300,62617300,38901700,1.25564767087384,0.328431707230936
rewarding,9500,59500,1546100,62617300,38901700,3.89105709562188,1.96016214992429
rhythmic,1500,9800,453100,62617300,38901700,4.05890661739381,2.02109114856662
rich,613100,313900,9816500,62617300,38901700,0.31807844723534,-1.65254547566672
ridiculous,20250,25900,996600,62617300,38901700,0.7946007663681,-0.331697910025503
right,1771300,2394300,66309400,62617300,38901700,0.839770638366552,-0.251932748037953
right-hand,14970,30900,2157600,62617300,38901700,1.2823628325781,0.35880451679325
ringed,450,1900,127100,62617300,38901700,2.6231029160028,1.3912744120612
rival,10800,27400,1393400,62617300,38901700,1.57616271707186,0.656416480856988
rock-rap,130,330,53800,62617300,38901700,1.57704770456039,0.657226301277291
rocky,25280,49200,2952700,62617300,38901700,1.20910015323747,0.273933752109429
romantic,22350,109500,4118400,62617300,38901700,3.04376300920848,1.60585603336515
roomy,650,10600,176500,62617300,38901700,10.131336768691,3.34075263648204
rough,46960,117100,3801700,62617300,38901700,1.54918416747476,0.631508662338455
round,102880,510900,14092600,62617300,38901700,3.08517064287276,1.62535028801904
rowdy,2040,4900,170300,62617300,38901700,1.49224507992419,0.577484497091005
rubber-like,25,480,12600,62617300,38901700,11.9282153654022,3.57630630589372
rubbery,610,3800,77300,62617300,38901700,3.87015184328282,1.95239017082799
rude,29500,29300,1156100,62617300,38901700,0.617049276494147,-0.696542389767026
rugged,4000,48500,1273000,62617300,38901700,7.53279225549489,2.91318474224706
run-down,6300,11400,460800,62617300,38901700,1.1241869640012,0.168881990724755
